bvn,name,gender,dateOfBirth,address,phone,email,totalNoOfLoans,totalNoOfInstitutions,totalNoOfActiveLoans,totalNoOfClosedLoans,totalBorrowed,totalOutstanding,totalOverdue,loanPerformance
56216704820,Oluwaseun Popoola,Male,05/02/1955,"022 Taylor Route, Ogun",0807610739297,christinawilliams@example.com,"[{""""source"""": """"CRC"""", """"value"""": 2}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 1}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 1}]","[{""""source"""": """"CRC"""", """"value"""": 2}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 2}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 1}]","[{""""source"""": """"CRC"""", """"value"""": 1}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 1}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 1}]","[{""""source"""": """"CRC"""", """"value"""": 14}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 15}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 13}]","[{""""source"""": """"CRC"""", """"value"""": 8472540}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 9650219}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 9037026}]","[{""""source"""": """"CRC"""", """"value"""": 6185668}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 6211686}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 7119977}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Maddox and Sons"""", """"loanAmount"""": 110088, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Robinson Ltd"""", """"loanAmount"""": 1469503, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Boyd, Monroe and Maldonado"""", """"loanAmount"""": 2072358, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Martin, Collins and Howell"""", """"loanAmount"""": 1371592, """"performanceStatus"""": """"Performing""""}]}]"
35696993292,Ibrahim Igwe,Male,04/09/1991,"88576 Leslie Throughway Apt. 359, Nasarawa",0803490156652,karen72@example.net,"[{""""source"""": """"CRC"""", """"value"""": 10}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 14}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 13}]","[{""""source"""": """"CRC"""", """"value"""": 6}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 8}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 8}]","[{""""source"""": """"CRC"""", """"value"""": 6}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 6}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 6}]","[{""""source"""": """"CRC"""", """"value"""": 2}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 2}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 2}]","[{""""source"""": """"CRC"""", """"value"""": 19519579}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 15090305}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 17218333}]","[{""""source"""": """"CRC"""", """"value"""": 5545302}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 5406095}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 5372707}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Johnson, Wells and Patterson"""", """"loanAmount"""": 647891, """"performanceStatus"""": """"Performing""""}]}]"
97569528960,Chiamaka Chukwu,Female,21/11/2004,"022 Wood Radial, Osun",0805249782693,tharrell@example.org,"[{""""source"""": """"CRC"""", """"value"""": 18}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 22}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 20}]","[{""""source"""": """"CRC"""", """"value"""": 11}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 9}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 10}]","[{""""source"""": """"CRC"""", """"value"""": 3}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 3}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 4}]","[{""""source"""": """"CRC"""", """"value"""": 16}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 16}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 12}]","[{""""source"""": """"CRC"""", """"value"""": 10587980}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 11930500}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 12195293}]","[{""""source"""": """"CRC"""", """"value"""": 114102}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 118792}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 127448}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Knight, Stuart and Wright"""", """"loanAmount"""": 1196403, """"performanceStatus"""": """"Non-Performing""""}, {""""loanProvider"""": """"Rodriguez Group"""", """"loanAmount"""": 3645401, """"performanceStatus"""": """"Performing""""}]}]"
40144528002,Gozie Umar,Male,26/09/1996,"2795 Smith Ford, Niger",0807982390987,vestrada@example.com,"[{""""source"""": """"CRC"""", """"value"""": 14}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 12}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 12}]","[{""""source"""": """"CRC"""", """"value"""": 9}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 11}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 8}]","[{""""source"""": """"CRC"""", """"value"""": 6}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 7}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 9}]","[{""""source"""": """"CRC"""", """"value"""": 11}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 12}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 10}]","[{""""source"""": """"CRC"""", """"value"""": 3320512}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 3252456}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 4236584}]","[{""""source"""": """"CRC"""", """"value"""": 1561618}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 1887378}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 1927936}]","[{""""source"""": """"CRC"""", """"value"""": 298367}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 386353}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 389610}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Johnson PLC"""", """"loanAmount"""": 4092026, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Johnson, Randolph and Ortiz"""", """"loanAmount"""": 1377249, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Horn Group"""", """"loanAmount"""": 3669381, """"performanceStatus"""": """"Non-Performing""""}]}]"
77978267944,Folake Okeke,Female,08/08/1970,"281 Luna Keys, Abuja FCT",0802292565543,tyler29@example.org,"[{""""source"""": """"CRC"""", """"value"""": 2}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 2}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 2}]","[{""""source"""": """"CRC"""", """"value"""": 4}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 4}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 4}]","[{""""source"""": """"CRC"""", """"value"""": 10}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 9}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 10}]","[{""""source"""": """"CRC"""", """"value"""": 8}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 9}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 9}]","[{""""source"""": """"CRC"""", """"value"""": 19353372}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 21514421}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 19036866}]","[{""""source"""": """"CRC"""", """"value"""": 3491094}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 2983484}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 2980489}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Perkins, Cole and Hughes"""", """"loanAmount"""": 1201616, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Hunt LLC"""", """"loanAmount"""": 4247457, """"performanceStatus"""": """"Non-Performing""""}, {""""loanProvider"""": """"Chase-Gonzalez"""", """"loanAmount"""": 1547298, """"performanceStatus"""": """"Non-Performing""""}, {""""loanProvider"""": """"Washington Group"""", """"loanAmount"""": 248617, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Macdonald, Reed and Price"""", """"loanAmount"""": 3678096, """"performanceStatus"""": """"Performing""""}]}]"
25231271534,Adanna Okoro,Female,04/04/1978,"403 Vance Highway Apt. 975, Borno",0810003825945,rmoreno@example.net,"[{""""source"""": """"CRC"""", """"value"""": 26}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 24}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 24}]","[{""""source"""": """"CRC"""", """"value"""": 1}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 1}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 2}]","[{""""source"""": """"CRC"""", """"value"""": 3}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 4}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 3}]","[{""""source"""": """"CRC"""", """"value"""": 2}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 2}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 1}]","[{""""source"""": """"CRC"""", """"value"""": 14192309}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 11845053}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 15510659}]","[{""""source"""": """"CRC"""", """"value"""": 3535342}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 3070285}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 3540762}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Hernandez, Kim and Wells"""", """"loanAmount"""": 2574810, """"performanceStatus"""": """"Performing""""}]}]"
87942902758,Adekunle Okoro,Male,26/10/2002,"253 Debra Grove, Abia",0807018727716,fbrown@example.com,"[{""""source"""": """"CRC"""", """"value"""": 16}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 19}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 21}]","[{""""source"""": """"CRC"""", """"value"""": 4}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 4}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 4}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 1}]","[{""""source"""": """"CRC"""", """"value"""": 3}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 4}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 3}]","[{""""source"""": """"CRC"""", """"value"""": 15610832}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 17869464}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 14035033}]","[{""""source"""": """"CRC"""", """"value"""": 8366508}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 6828928}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 8568755}]","[{""""source"""": """"CRC"""", """"value"""": 341142}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 357568}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 475348}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Fox and Sons"""", """"loanAmount"""": 53794, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Morrison-Beltran"""", """"loanAmount"""": 2376882, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Little Inc"""", """"loanAmount"""": 1379452, """"performanceStatus"""": """"Non-Performing""""}]}]"
55916497622,Babatunde Abubakar,Male,07/12/1974,"726 Joseph Ports Suite 268, Sokoto",0703507965472,tina03@example.org,"[{""""source"""": """"CRC"""", """"value"""": 18}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 24}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 18}]","[{""""source"""": """"CRC"""", """"value"""": 1}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 2}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 2}]","[{""""source"""": """"CRC"""", """"value"""": 11}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 8}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 9}]","[{""""source"""": """"CRC"""", """"value"""": 4}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 4}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 5}]","[{""""source"""": """"CRC"""", """"value"""": 7823665}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 8008998}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 7227487}]","[{""""source"""": """"CRC"""", """"value"""": 2660345}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 2627656}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 1968868}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Espinoza-Smith"""", """"loanAmount"""": 1902308, """"performanceStatus"""": """"Performing""""}]}]"
57626935068,Omolara Balogun,Female,29/08/1972,"8022 Robert Orchard Suite 980, Anambra",0805202370199,goodmanlarry@example.net,"[{""""source"""": """"CRC"""", """"value"""": 27}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 22}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 23}]","[{""""source"""": """"CRC"""", """"value"""": 7}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 5}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 6}]","[{""""source"""": """"CRC"""", """"value"""": 3}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 2}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 2}]","[{""""source"""": """"CRC"""", """"value"""": 11}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 12}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 9}]","[{""""source"""": """"CRC"""", """"value"""": 13514211}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 12335589}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 15247663}]","[{""""source"""": """"CRC"""", """"value"""": 2840706}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 1980746}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 1980087}]","[{""""source"""": """"CRC"""", """"value"""": 381977}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 407120}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 414927}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Gray, Thomas and Roach"""", """"loanAmount"""": 2313771, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Rodriguez, Vance and Pierce"""", """"loanAmount"""": 4451601, """"performanceStatus"""": """"Non-Performing""""}]}]"
71420870034,Chinedu Adewale,Male,10/03/1979,"37605 Goodman Parks, Bayelsa",0813071220823,hannahyoder@example.net,"[{""""source"""": """"CRC"""", """"value"""": 6}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 7}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 8}]","[{""""source"""": """"CRC"""", """"value"""": 3}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 4}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 3}]","[{""""source"""": """"CRC"""", """"value"""": 5}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 5}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 5}]","[{""""source"""": """"CRC"""", """"value"""": 6}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 6}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 6}]","[{""""source"""": """"CRC"""", """"value"""": 13056945}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 13693136}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 14383362}]","[{""""source"""": """"CRC"""", """"value"""": 1196298}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 1194444}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 1384181}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Johnson, Mcneil and Holder"""", """"loanAmount"""": 1041393, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Ferguson-Murray"""", """"loanAmount"""": 4677381, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Lowe and Sons"""", """"loanAmount"""": 746447, """"performanceStatus"""": """"Performing""""}]}]"
